# t x y z vx vy vz E_kin E_pot E_tot
0.00000 -2.78594e-01 1.56500e-03 -1.69199e-17 9.00002e+06 1.13897e+04 -2.72798e-10 3.68932e-17 -1.38714e-16 -1.01821e-16
0.00000 -2.69574e-01 1.57644e-03 -1.71936e-17 9.03888e+06 1.14777e+04 -2.72707e-10 3.72125e-17 -1.39033e-16 -1.01821e-16
0.00000 -2.60516e-01 1.58796e-03 -1.74654e-17 9.07672e+06 1.15684e+04 -2.71135e-10 3.75248e-17 -1.39346e-16 -1.01821e-16
0.00000 -2.51421e-01 1.59958e-03 -1.77432e-17 9.11351e+06 1.16618e+04 -2.82050e-10 3.78295e-17 -1.39650e-16 -1.01821e-16
0.00000 -2.42290e-01 1.61129e-03 -1.80256e-17 9.14922e+06 1.17579e+04 -2.84250e-10 3.81266e-17 -1.39947e-16 -1.01821e-16
0.00000 -2.33123e-01 1.62309e-03 -1.83033e-17 9.18382e+06 1.18567e+04 -2.71737e-10 3.84155e-17 -1.40236e-16 -1.01821e-16
0.00000 -2.23923e-01 1.63500e-03 -1.85708e-17 9.21729e+06 1.19582e+04 -2.66361e-10 3.86960e-17 -1.40517e-16 -1.01821e-16
0.00000 -2.14689e-01 1.64701e-03 -1.88388e-17 9.24960e+06 1.20625e+04 -2.70852e-10 3.89677e-17 -1.40789e-16 -1.01821e-16
0.00000 -2.05424e-01 1.65913e-03 -1.91078e-17 9.28072e+06 1.21694e+04 -2.63806e-10 3.92304e-17 -1.41051e-16 -1.01821e-16
0.00000 -1.96128e-01 1.67135e-03 -1.93656e-17 9.31063e+06 1.22790e+04 -2.56773e-10 3.94837e-17 -1.41304e-16 -1.01821e-16
0.00000 -1.86803e-01 1.68368e-03 -1.96237e-17 9.33930e+06 1.23913e+04 -2.61749e-10 3.97273e-17 -1.41548e-16 -1.01821e-16
