# t x y z vx vy vz E_kin E_pot E_tot
0.00000 8.34710e-01 -1.53469e+00 7.65987e-01 -2.94018e+07 -8.01531e+06 4.01297e+06 4.30334e-16 -1.92806e-15 -1.49773e-15
0.00000 8.04960e-01 -1.54229e+00 7.69792e-01 -3.00984e+07 -7.17901e+06 3.59556e+06 4.41977e-16 -1.93971e-15 -1.49773e-15
0.00000 7.74516e-01 -1.54904e+00 7.73174e-01 -3.07890e+07 -6.31766e+06 3.16564e+06 4.54511e-16 -1.95224e-15 -1.49773e-15
0.00000 7.43384e-01 -1.55491e+00 7.76119e-01 -3.14733e+07 -5.42984e+06 2.72250e+06 4.67978e-16 -1.96571e-15 -1.49773e-15
0.00000 7.11571e-01 -1.55989e+00 7.78614e-01 -3.21508e+07 -4.51401e+06 2.26537e+06 4.82425e-16 -1.98015e-15 -1.49773e-15
0.00000 6.79085e-01 -1.56393e+00 7.80645e-01 -3.28209e+07 -3.56850e+06 1.79341e+06 4.97901e-16 -1.99563e-15 -1.49773e-15
0.00000 6.45932e-01 -1.56701e+00 7.82196e-01 -3.34829e+07 -2.59149e+06 1.30573e+06 5.14464e-16 -2.01219e-15 -1.49773e-15
0.00000 6.12122e-01 -1.56910e+00 7.83251e-01 -3.41360e+07 -1.58100e+06 8.01326e+05 5.32173e-16 -2.02990e-15 -1.49773e-15
0.00000 5.77664e-01 -1.57016e+00 7.83792e-01 -3.47791e+07 -5.34876e+05 2.79128e+05 5.51093e-16 -2.04882e-15 -1.49773e-15
0.00000 5.42568e-01 -1.57016e+00 7.83803e-01 -3.54109e+07 5.49227e+05 -2.62038e+05 5.71297e-16 -2.06902e-15 -1.49773e-15
0.00000 5.06846e-01 -1.56905e+00 7.83262e-01 -3.60301e+07 1.67386e+06 -8.23445e+05 5.92860e-16 -2.09059e-15 -1.49773e-15
0.00000 4.70512e-01 -1.56680e+00 7.82149e-01 -3.66348e+07 2.84181e+06 -1.40648e+06 6.15867e-16 -2.11360e-15 -1.49773e-15
0.00000 4.33582e-01 -1.56335e+00 7.80441e-01 -3.72228e+07 4.05609e+06 -2.01266e+06 6.40408e-16 -2.13814e-15 -1.49773e-15
0.00000 3.96073e-01 -1.55867e+00 7.78115e-01 -3.77917e+07 5.31998e+06 -2.64361e+06 6.66579e-16 -2.16431e-15 -1.49773e-15
0.00000 3.58006e-01 -1.55270e+00 7.75145e-01 -3.83382e+07 6.63702e+06 -3.30110e+06 6.94484e-16 -2.19221e-15 -1.49773e-15
0.00000 3.19405e-01 -1.54538e+00 7.71503e-01 -3.88587e+07 8.01102e+06 -3.98704e+06 7.24230e-16 -2.22196e-15 -1.49773e-15
0.00000 2.80299e-01 -1.53665e+00 7.67161e-01 -3.93488e+07 9.44607e+06 -4.70347e+06 7.55931e-16 -2.25366e-15 -1.49773e-15
